Sampling Period,Sampling Location,Radionuclide,Result (pCi/m3),Counting Error (pCi/m3),Minimum Detectable Activity 95% (pCi/m3,Total Effective Dose Equivalent (millirem),NRC Effluent Air Conc. Limit (pCi/m3)
2013Q1,"Richmond, CA",Cesium-137,0.0000194,0.0000373,0.000106,0,200
2013Q1,"Richmond, CA",Cerium-141,0.000197,0.000209,0.00068,0,800
2013Q1,"Richmond, CA",Cerium-144,0.00000196,0.000263,0.000632,0,20
2013Q1,Livermore,Beryllium-7,0.13,0.00355,0.003,0.000216667,30000
2013Q1,Livermore,Potassium-40,0.00113,0.000632,0.00291,0,600
2013Q1,Livermore,Niobium-95,0.000299,0.000166,0.000511,0,2000
2013Q1,Livermore,Zirconium-95,0.00013,0.000192,0.000446,0,400
2013Q1,Livermore,Ruthenium-103,0.000272,0.000122,0.000384,0,900
2013Q1,Livermore,Ruthenium-106,-0.00000114,0.000396,0.00111,0,20
2013Q1,Livermore,Cesium-137,0.0000643,0.0000378,0.000114,0,200
2013Q1,Livermore,Cerium-141,-0.00015,0.000227,0.00106,0,800
2013Q1,Livermore,Cerium-144,-0.000267,0.000168,0.00045,0,20
2013Q1,San Luis Obispo,Beryllium-7,0.119,0.00319,0.0023,0.000198333,30000
2013Q1,San Luis Obispo,Potassium-40,0.000253,0.00046,0.00216,0,600
2013Q1,San Luis Obispo,Niobium-95,0.0000506,0.000133,0.000377,0,2000
2013Q1,San Luis Obispo,Zirconium-95,-0.0000817,0.000154,0.000349,0,400
2013Q1,San Luis Obispo,Ruthenium-103,-0.00016,0.000112,0.000293,0,900
2013Q1,San Luis Obispo,Ruthenium-106,0.000533,0.000312,0.000929,0,20
2013Q1,San Luis Obispo,Cesium-137,-0.00000302,0.000033,0.0000906,0,200
2013Q1,San Luis Obispo,Cerium-141,0.000277,0.000185,0.000485,0,800
2013Q1,San Luis Obispo,Cerium-144,-0.000221,0.000196,0.000485,0,20
2013Q1,Diablo Canyon,Beryllium-7,0.0805,0.00222,0.0019,0.000134167,30000
2013Q1,Diablo Canyon,Potassium-40,0.000971,0.000455,0.00208,0,600
2013Q1,Diablo Canyon,Niobium-95,0.0000665,0.000127,0.000362,0,2000
2013Q1,Diablo Canyon,Zirconium-95,0.0000767,0.00014,0.000317,0,400
2013Q1,Diablo Canyon,Ruthenium-103,0.00000447,0.000102,0.000283,0,900
2013Q1,Diablo Canyon,Ruthenium-106,-0.000306,0.000307,0.000811,0,20
2013Q1,Diablo Canyon,Cesium-137,-0.0000387,0.0000337,0.0000886,0,200
2013Q1,Diablo Canyon,Cerium-141,-0.000322,0.000181,0.000442,0,800
2013Q1,Diablo Canyon,Cerium-144,0.0000839,0.000174,0.000449,0,20
2013Q1,San Onofre,Beryllium-7,0.137,0.00365,0.00296,0.000228333,30000
2013Q1,San Onofre,Potassium-40,0.00155,0.000527,0.0024,0,600
2013Q1,San Onofre,Niobium-95,0,0,0,0,2000
2013Q1,San Onofre,Zirconium-95,0.0000639,0.000165,0.000387,0,400
2013Q1,San Onofre,Ruthenium-103,-0.0000111,0.000129,0.00033,0,900
2013Q1,San Onofre,Ruthenium-106,0.000144,0.000372,0.000969,0,20
2013Q1,San Onofre,Cesium-137,0.0000257,0.0000322,0.0001,0,200
2013Q1,San Onofre,Cerium-141,0.000344,0.000216,0.000615,0,800
2013Q1,San Onofre,Cerium-144,-0.000057,0.00021,0.000578,0,20
2013Q1,San Diego,Beryllium-7,0.128,0.00354,0.00359,0.000213333,30000
2013Q1,San Diego,Potassium-40,0.0017,0.000696,0.00318,0,600
2013Q1,San Diego,Niobium-95,0.000233,0.000185,0.000551,0,2000
2013Q1,San Diego,Zirconium-95,-0.000309,0.000227,0.000473,0,400
2013Q1,San Diego,Ruthenium-103,-0.000196,0.000141,0.000389,0,900
2013Q1,San Diego,Ruthenium-106,-0.0000315,0.000444,0.00124,0,20
2013Q1,San Diego,Cesium-137,0.0000648,0.0000426,0.000128,0,200
2013Q1,San Diego,Cerium-141,-0.0000726,0.00026,0.000624,0,800
2013Q1,San Diego,Cerium-144,0.0000779,0.00017,0.000489,0,20
2013Q2,Eureka,Beryllium-7,0.0441,0.0015,0.00233,0.0000735,30000
2013Q2,Eureka,Potassium-40,-0.00102,0.000564,0.0027,0,600
2013Q2,Eureka,Niobium-95,0.0000585,0.0000788,0.000371,0,2000
2013Q2,Eureka,Zirconium-95,-0.000072,0.0000472,0.00028,0,400
2013Q2,Eureka,Ruthenium-103,-0.0000298,0.0000604,0.000272,0,900
2013Q2,Eureka,Ruthenium-106,-0.000209,0.00014,0.000614,0,20
2013Q2,Eureka,Cesium-137,-0.0000153,0.0000138,0.0000612,0,200
2013Q2,Eureka,Cerium-141,0.00032,0.000187,0.000867,0,800
2013Q2,Eureka,Cerium-144,0.0000224,0.0000825,0.000366,0,20
2013Q2,Humboldt Bay,Beryllium-7,0.0467,0.00156,0.00266,7.78E-05,30000
2013Q2,Humboldt Bay,Potassium-40,0.00111,0.000591,0.00272,0,600
2013Q2,Humboldt Bay,Niobium-95,0.000111,0.0000865,0.000413,0,2000
2013Q2,Humboldt Bay,Zirconium-95,-0.0000286,0.0000768,0.00031,0,400
2013Q2,Humboldt Bay,Ruthenium-103,0.00000129,0.0000633,0.000289,0,900
2013Q2,Humboldt Bay,Ruthenium-106,0.0000613,0.000147,0.000675,0,20
2013Q2,Humboldt Bay,Cesium-137,0.00000748,0.0000141,0.000066,0,200
2013Q2,Humboldt Bay,Cerium-141,0.000205,0.000217,0.00101,0,800
2013Q2,Humboldt Bay,Cerium-144,0.0000354,0.0000734,0.000325,0,20
2013Q2,"Richmond, CA",Beryllium-7,0.0616,0.00197,0.00241,0.000102667,30000
2013Q2,"Richmond, CA",Potassium-40,-0.00374,0.000601,0.00296,0,600
2013Q2,"Richmond, CA",Niobium-95,0.000251,0.000104,0.00047,0,2000
2013Q2,"Richmond, CA",Zirconium-95,-0.000191,0.0000753,0.00026,0,400
2013Q2,"Richmond, CA",Ruthenium-103,-0.0000434,0.0000575,0.000254,0,900
2013Q2,"Richmond, CA",Ruthenium-106,-0.000152,0.00013,0.000573,0,20
2013Q2,"Richmond, CA",Cesium-137,-0.0000091,0.0000127,0.000057,0,200
2013Q2,"Richmond, CA",Cerium-141,-0.000187,0.000111,0.000475,0,800
2013Q2,"Richmond, CA",Cerium-144,0.0000128,0.0000832,0.000368,0,20
2013Q2,Livermore,Beryllium-7,0.108,0.00294,0.00238,0.00018,30000
2013Q2,Livermore,Potassium-40,0.000797,0.000488,0.00226,0,600
2013Q2,Livermore,Niobium-95,0.0000557,0.0000715,0.000338,0,2000
2013Q2,Livermore,Zirconium-95,-0.0000978,0.0000667,0.000254,0,400
2013Q2,Livermore,Ruthenium-103,0.00000349,0.0000484,0.00022,0,900
2013Q2,Livermore,Ruthenium-106,0.000144,0.000123,0.000581,0,20
2013Q2,Livermore,Cesium-137,-0.00000986,0.0000126,0.0000572,0,200
2013Q2,Livermore,Cerium-141,0.00013,0.000117,0.000546,0,800
2013Q2,Livermore,Cerium-144,0.000011,0.0000719,0.000325,0,20
2013Q2,San Luis Obispo,Beryllium-7,0.0621,0.00204,0.00275,0.0001035,30000
2013Q2,San Luis Obispo,Potassium-40,-0.00222,0.000671,0.00324,0,600
2013Q2,San Luis Obispo,Niobium-95,0.000111,0.0000967,0.000455,0,2000
2013Q2,San Luis Obispo,Zirconium-95,-0.000146,0.0000854,0.000286,0,400
2013Q2,San Luis Obispo,Ruthenium-103,0.0000329,0.0000715,0.000328,0,900
2013Q2,San Luis Obispo,Ruthenium-106,-0.0000639,0.000146,0.00066,0,20
2013Q2,San Luis Obispo,Cesium-137,-0.0000107,0.0000145,0.0000649,0,200
2013Q2,San Luis Obispo,Cerium-141,0.000128,0.000214,0.001,0,800
2013Q2,San Luis Obispo,Cerium-144,-0.0000884,0.0000919,0.000397,0,20
2013Q2,Diablo Canyon,Beryllium-7,0.069,0.00205,0.00269,0.000115,30000
2013Q2,Diablo Canyon,Potassium-40,0.00144,0.000587,0.00269,0,600
2013Q2,Diablo Canyon,Niobium-95,0.0000399,0.0000814,0.000377,0,2000
2013Q2,Diablo Canyon,Zirconium-95,-0.000072,0.0000387,0.000276,0,400
2013Q2,Diablo Canyon,Ruthenium-103,-0.0000233,0.0000559,0.000244,0,900
2013Q2,Diablo Canyon,Ruthenium-106,0.000161,0.00014,0.000656,0,20
2013Q2,Diablo Canyon,Cesium-137,0.0000247,0.0000141,0.0000673,0,200
2013Q2,Diablo Canyon,Cerium-141,0.000101,0.000195,0.000909,0,800
2013Q2,Diablo Canyon,Cerium-144,-0.0000773,0.0000851,0.000368,0,20
2013Q2,San Onofre,Beryllium-7,0.071,0.00202,0.00215,0.000118333,30000
2013Q2,San Onofre,Potassium-40,0.000997,0.000478,0.0022,0,600
2013Q2,San Onofre,Niobium-95,-0.0000473,0.0000621,0.000282,0,2000
2013Q2,San Onofre,Zirconium-95,-0.0000383,0.000068,0.000223,0,400
2013Q2,San Onofre,Ruthenium-103,-0.0000799,0.0000444,0.000193,0,900
2013Q2,San Onofre,Ruthenium-106,0.000164,0.000128,0.000603,0,20
2013Q2,San Onofre,Cesium-137,0.0000137,0.000013,0.0000616,0,200
2013Q2,San Onofre,Cerium-141,-0.0000303,0.0000842,0.000377,0,800
2013Q2,San Onofre,Cerium-144,-0.0000906,0.0000716,0.000316,0,20
2013Q2,San Diego,Beryllium-7,0.0857,0.00247,0.00278,0.000142833,30000
2013Q2,San Diego,Potassium-40,0.000535,0.000641,0.00299,0,600
2013Q2,San Diego,Niobium-95,0.0000118,0.0000889,0.000407,0,2000
2013Q2,San Diego,Zirconium-95,-0.000107,0.0000825,0.000287,0,400
2013Q2,San Diego,Ruthenium-103,-0.0000315,0.0000553,0.000244,0,900
2013Q2,San Diego,Ruthenium-106,0.0000409,0.000153,0.000705,0,20
2013Q2,San Diego,Cesium-137,0.0000197,0.0000147,0.0000698,0,200
2013Q2,San Diego,Cerium-141,0.0000237,0.000118,0.00052,0,800
2013Q2,San Diego,Cerium-144,0.0000873,0.0000918,0.000409,0,20
2013Q3,Eureka,Beryllium-7,0.0383,0.00134,0.00251,6.38E-05,30000
2013Q3,Eureka,Potassium-40,0.00151,0.000667,0.00306,0,600
2013Q3,Eureka,Niobium-95,-0.0000106,0.0000852,0.000389,0,2000
2013Q3,Eureka,Zirconium-95,-0.0000146,0.0000652,0.000295,0,400
2013Q3,Eureka,Ruthenium-103,0.00000898,0.0000585,0.000268,0,900
2013Q3,Eureka,Ruthenium-106,0.0000166,0.000162,0.000745,0,20
2013Q3,Eureka,Cesium-137,0.00000715,0.0000162,0.000075,0,200
2013Q3,Eureka,Cerium-141,0.00011,0.0002,0.000936,0,800
2013Q3,Eureka,Cerium-144,-0.0000132,0.0000771,0.00034,0,20
2013Q3,Humboldt Bay,Beryllium-7,0.0402,0.00123,0.00175,0.000067,30000
2013Q3,Humboldt Bay,Potassium-40,0.0017,0.00037,0.00192,0,600
2013Q3,Humboldt Bay,Niobium-95,-0.0000232,0.0000568,0.000261,0,2000
2013Q3,Humboldt Bay,Zirconium-95,-0.00000258,0.0000445,0.000205,0,400
2013Q3,Humboldt Bay,Ruthenium-103,0.000029,0.0000388,0.000179,0,900
2013Q3,Humboldt Bay,Ruthenium-106,0.000114,0.000115,0.000539,0,20
2013Q3,Humboldt Bay,Cesium-137,0.00000669,0.0000115,0.0000538,0,200
2013Q3,Humboldt Bay,Cerium-141,0.000284,0.0000871,0.000395,0,800
2013Q3,Humboldt Bay,Cerium-144,-0.0000143,0.0000617,0.000276,0,20
2013Q3,"Richmond, CA",Beryllium-7,0.0413,0.00138,0.00263,6.88E-05,30000
2013Q3,"Richmond, CA",Potassium-40,0.00226,0.000598,0.0027,0,600
2013Q3,"Richmond, CA",Niobium-95,0.0000617,0.0000801,0.000373,0,2000
2013Q3,"Richmond, CA",Zirconium-95,-0.0000494,0.0000574,0.000255,0,400
2013Q3,"Richmond, CA",Ruthenium-103,0.0000675,0.0000504,0.000226,0,900
2013Q3,"Richmond, CA",Ruthenium-106,-0.0000356,0.000135,0.000615,0,20
2013Q3,"Richmond, CA",Cesium-137,0.00000594,0.0000137,0.0000635,0,200
2013Q3,"Richmond, CA",Cerium-141,0.0000379,0.0002,0.000936,0,800
2013Q3,"Richmond, CA",Cerium-144,-0.000253,0.0000871,0.000355,0,20
2013Q3,Livermore,Beryllium-7,0.0845,0.00259,0.00256,0.000140833,30000
2013Q3,Livermore,Potassium-40,-0.00292,0.000642,0.00312,0,600
2013Q3,Livermore,Niobium-95,-0.000051,0.0000778,0.00035,0,2000
2013Q3,Livermore,Zirconium-95,0.0000111,0.0000592,0.000272,0,400
2013Q3,Livermore,Ruthenium-103,-0.0000273,0.0000582,0.000262,0,900
2013Q3,Livermore,Ruthenium-106,-0.00000853,0.000142,0.000647,0,20
2013Q3,Livermore,Cesium-137,0.000000817,0.0000142,0.000065,0,200
2013Q3,Livermore,Cerium-141,0.000166,0.000173,0.000804,0,800
2013Q3,Livermore,Cerium-144,-0.0000556,0.0000894,0.000392,0,20
2013Q3,San Luis Obispo,Beryllium-7,0.0555,0.00164,0.00212,0.0000925,30000
2013Q3,San Luis Obispo,Potassium-40,0.00107,0.000495,0.00227,0,600
2013Q3,San Luis Obispo,Niobium-95,-0.000174,0.0000701,0.000296,0,2000
2013Q3,San Luis Obispo,Zirconium-95,0.0000544,0.0000488,0.000233,0,400
2013Q3,San Luis Obispo,Ruthenium-103,0.0000254,0.0000424,0.000197,0,900
2013Q3,San Luis Obispo,Ruthenium-106,-0.0000018,0.000131,0.000602,0,20
2013Q3,San Luis Obispo,Cesium-137,0.0000371,0.0000162,0.0000739,0,200
2013Q3,San Luis Obispo,Cerium-141,0.000285,0.000125,0.000576,0,800
2013Q3,San Luis Obispo,Cerium-144,-0.0000856,0.0000714,0.000315,0,20
2013Q3,Diablo Canyon,Beryllium-7,0.0445,0.00147,0.0023,7.42E-05,30000
2013Q3,Diablo Canyon,Potassium-40,0.00156,0.000617,0.00282,0,600
2013Q3,Diablo Canyon,Niobium-95,0.0000209,0.0000852,0.000391,0,2000
2013Q3,Diablo Canyon,Zirconium-95,-0.00000654,0.0000594,0.000274,0,400
2013Q3,Diablo Canyon,Ruthenium-103,-0.0000191,0.0000602,0.000273,0,900
2013Q3,Diablo Canyon,Ruthenium-106,-0.000197,0.000149,0.000651,0,20
2013Q3,Diablo Canyon,Cesium-137,0.000000954,0.0000151,0.0000691,0,200
2013Q3,Diablo Canyon,Cerium-141,0.0000484,0.000208,0.000972,0,800
2013Q3,Diablo Canyon,Cerium-144,-0.0000105,0.0000725,0.000319,0,20
2013Q3,San Onofre,Beryllium-7,0.0582,0.00198,0.00315,0.000097,30000
2013Q3,San Onofre,Potassium-40,-0.00549,0.000815,0.00399,0,600
2013Q3,San Onofre,Niobium-95,-0.0000303,0.0001,0.000456,0,2000
2013Q3,San Onofre,Zirconium-95,-0.000105,0.0000693,0.000301,0,400
2013Q3,San Onofre,Ruthenium-103,0.0000721,0.0000775,0.000357,0,900
2013Q3,San Onofre,Ruthenium-106,0.00015,0.000158,0.000739,0,20
2013Q3,San Onofre,Cesium-137,0.00000253,0.0000156,0.0000717,0,200
2013Q3,San Onofre,Cerium-141,-0.000128,0.000148,0.00064,0,800
2013Q3,San Onofre,Cerium-144,-0.000225,0.000101,0.000426,0,20
2013Q3,San Diego,Beryllium-7,0.079,0.00233,0.00294,0.000131667,30000
2013Q3,San Diego,Potassium-40,-0.00077,0.000674,0.0032,0,600
2013Q3,San Diego,Niobium-95,-0.0000464,0.0000874,0.000388,0,2000
2013Q3,San Diego,Zirconium-95,0.000107,0.0000626,0.000303,0,400
2013Q3,San Diego,Ruthenium-103,0.0000652,0.0000587,0.000268,0,900
2013Q3,San Diego,Ruthenium-106,-0.0000204,0.000159,0.000727,0,20
2013Q3,San Diego,Cesium-137,0.0000139,0.0000156,0.0000726,0,200
2013Q3,San Diego,Cerium-141,-0.000304,0.000231,0.00109,0,800
2013Q3,San Diego,Cerium-144,0.0000904,0.0000964,0.00043,0,20
2013Q4,Eureka,Beryllium-7,0.0863,0.00248,0.00268,0.000143833,30000
2013Q4,Eureka,Potassium-40,-0.0026,0.000653,0.00318,0,600
2013Q4,Eureka,Niobium-95,0.0000813,0.0000856,0.000403,0,2000
2013Q4,Eureka,Zirconium-95,-0.000102,0.0000891,0.000293,0,400
2013Q4,Eureka,Ruthenium-103,0.00000172,0.0000542,0.000242,0,900
2013Q4,Eureka,Ruthenium-106,0.000268,0.000159,0.000754,0,20
2013Q4,Eureka,Cesium-137,0.00000984,0.0000156,0.0000728,0,200
2013Q4,Eureka,Cerium-141,0.000514,0.000167,0.000762,0,800
2013Q4,Eureka,Cerium-144,-0.000107,0.0000964,0.000417,0,20
2013Q4,Humboldt Bay,Beryllium-7,0.0867,0.00262,0.00234,0.0001445,30000
2013Q4,Humboldt Bay,Potassium-40,0.00026,0.000497,0.00232,0,600
2013Q4,Humboldt Bay,Niobium-95,0.000163,0.000074,0.00036,0,2000
2013Q4,Humboldt Bay,Zirconium-95,-0.000122,0.0000714,0.000241,0,400
2013Q4,Humboldt Bay,Ruthenium-103,-0.0000962,0.0000537,0.000232,0,900
2013Q4,Humboldt Bay,Ruthenium-106,-0.0000787,0.000123,0.000551,0,20
2013Q4,Humboldt Bay,Cesium-137,0.0000256,0.0000119,0.0000577,0,200
2013Q4,Humboldt Bay,Cerium-141,0.000174,0.000171,0.000797,0,800
2013Q4,Humboldt Bay,Cerium-144,0.0000155,0.0000805,0.000358,0,20
2013Q4,"Richmond, CA",Beryllium-7,0.133,0.00364,0.00282,0.000221667,30000
2013Q4,"Richmond, CA",Potassium-40,-0.000919,0.000588,0.0028,0,600
2013Q4,"Richmond, CA",Niobium-95,0.000107,0.0000883,0.000415,0,2000
2013Q4,"Richmond, CA",Zirconium-95,0.0000231,0.0000599,0.000289,0,400
2013Q4,"Richmond, CA",Ruthenium-103,0.0000414,0.0000591,0.00027,0,900
2013Q4,"Richmond, CA",Ruthenium-106,-0.000348,0.000147,0.000622,0,20
2013Q4,"Richmond, CA",Cesium-137,-0.00000374,0.0000136,0.0000616,0,200
2013Q4,"Richmond, CA",Cerium-141,0.000521,0.000189,0.000868,0,800
2013Q4,"Richmond, CA",Cerium-144,0.0000525,0.0000887,0.000394,0,20
2013Q4,Livermore,Beryllium-7,0.152,0.00431,0.00236,0.000253333,30000
2013Q4,Livermore,Potassium-40,-0.000293,0.000488,0.00231,0,600
2013Q4,Livermore,Niobium-95,-0.0000145,0.0000746,0.000339,0,2000
2013Q4,Livermore,Zirconium-95,-0.00012,0.0000713,0.00025,0,400
2013Q4,Livermore,Ruthenium-103,0.0000653,0.0000554,0.000259,0,900
2013Q4,Livermore,Ruthenium-106,-0.0000673,0.000126,0.000554,0,20
2013Q4,Livermore,Cesium-137,0.00000548,0.0000116,0.0000538,0,200
2013Q4,Livermore,Cerium-141,-0.000479,0.00024,0.00113,0,800
2013Q4,Livermore,Cerium-144,0.0000913,0.0000765,0.000343,0,20
2013Q4,San Luis Obispo,Beryllium-7,0.127,0.0035,0.00289,0.000211667,30000
2013Q4,San Luis Obispo,Potassium-40,-0.0000147,0.000641,0.00301,0,600
2013Q4,San Luis Obispo,Niobium-95,0.0000776,0.0000927,0.000436,0,2000
2013Q4,San Luis Obispo,Zirconium-95,0.00000783,0.0000438,0.000269,0,400
2013Q4,San Luis Obispo,Ruthenium-103,0.0000285,0.0000593,0.000269,0,900
2013Q4,San Luis Obispo,Ruthenium-106,0.0000927,0.000156,0.000718,0,20
2013Q4,San Luis Obispo,Cesium-137,-0.00000584,0.0000152,0.0000683,0,200
2013Q4,San Luis Obispo,Cerium-141,0.000101,0.00014,0.000622,0,800
2013Q4,San Luis Obispo,Cerium-144,0.00000242,0.0000954,0.00042,0,20
2013Q4,Diablo Canyon,Beryllium-7,0.114,0.00331,0.00239,0.00019,30000
2013Q4,Diablo Canyon,Potassium-40,0.000281,0.000505,0.00237,0,600
2013Q4,Diablo Canyon,Niobium-95,0.0000987,0.0000672,0.000324,0,2000
2013Q4,Diablo Canyon,Zirconium-95,-0.000102,0.0000699,0.000244,0,400
2013Q4,Diablo Canyon,Ruthenium-103,0.000091,0.0000535,0.000251,0,900
2013Q4,Diablo Canyon,Ruthenium-106,-0.0000673,0.000121,0.000547,0,20
2013Q4,Diablo Canyon,Cesium-137,-0.0000121,0.0000129,0.0000568,0,200
2013Q4,Diablo Canyon,Cerium-141,-0.0000804,0.000219,0.00103,0,800
2013Q4,Diablo Canyon,Cerium-144,-0.00008,0.0000747,0.000323,0,20
2013Q4,San Onofre,Beryllium-7,0.131,0.00382,0.00237,0.000218333,30000
2013Q4,San Onofre,Potassium-40,-0.000568,0.000482,0.0023,0,600
2013Q4,San Onofre,Niobium-95,0.000139,0.0000756,0.000366,0,2000
2013Q4,San Onofre,Zirconium-95,-0.000223,0.0000746,0.000256,0,400
2013Q4,San Onofre,Ruthenium-103,-0.00004,0.0000598,0.000268,0,900
2013Q4,San Onofre,Ruthenium-106,0.0000402,0.000126,0.000581,0,20
2013Q4,San Onofre,Cesium-137,0.00000625,0.0000123,0.0000574,0,200
2013Q4,San Onofre,Cerium-141,0.000674,0.000204,0.000933,0,800
2013Q4,San Onofre,Cerium-144,0.0000358,0.0000837,0.000372,0,20
2013Q4,San Diego,Beryllium-7,0.137,0.00403,0.00268,0.000228333,30000
2013Q4,San Diego,Potassium-40,-0.0000561,0.000545,0.00257,0,600
2013Q4,San Diego,Niobium-95,0.0000238,0.0000837,0.000389,0,2000
2013Q4,San Diego,Zirconium-95,-0.000101,0.0000814,0.000264,0,400
2013Q4,San Diego,Ruthenium-103,0.0000167,0.0000666,0.000305,0,900
2013Q4,San Diego,Ruthenium-106,-0.0000345,0.000141,0.000637,0,20
2013Q4,San Diego,Cesium-137,0.0000121,0.0000133,0.0000627,0,200
2013Q4,San Diego,Cerium-141,-0.000125,0.000134,0.00058,0,800
2013Q4,San Diego,Cerium-144,-0.0000476,0.0000933,0.000408,0,20
2014Q1,Eureka,Beryllium-7,0.0652,0.00259,0.00269,0.000108667,30000
2014Q1,Eureka,Potassium-40,0.00137,0.000707,0.00326,0,600
2014Q1,Eureka,Niobium-95,0.00000164,0.0000858,0.000391,0,2000
2014Q1,Eureka,Zirconium-95,0.0000736,0.0000639,0.000305,0,400
2014Q1,Eureka,Ruthenium-103,0.0000255,0.0000648,0.000296,0,900
2014Q1,Eureka,Ruthenium-106,0.00000796,0.000164,0.000745,0,20
2014Q1,Eureka,Cesium-137,0.00000521,0.0000168,0.0000777,0,200
2014Q1,Eureka,Cerium-141,-0.0000364,0.000123,0.000535,0,800
2014Q1,Eureka,Cerium-144,-0.0000768,0.0001,0.000433,0,20
2014Q1,Humboldt Bay,Beryllium-7,0.063,0.00197,0.00212,0.000105,30000
2014Q1,Humboldt Bay,Potassium-40,0.000729,0.000505,0.00234,0,600
2014Q1,Humboldt Bay,Niobium-95,-0.0000495,0.0000676,0.0003,0,2000
2014Q1,Humboldt Bay,Zirconium-95,0.0000761,0.0000479,0.000232,0,400
2014Q1,Humboldt Bay,Ruthenium-103,0.00000805,0.0000532,0.000241,0,900
2014Q1,Humboldt Bay,Ruthenium-106,0.000164,0.000129,0.000604,0,20
2014Q1,Humboldt Bay,Cesium-137,0.0000162,0.0000122,0.0000576,0,200
2014Q1,Humboldt Bay,Cerium-141,0.000136,0.000117,0.000542,0,800
2014Q1,Humboldt Bay,Cerium-144,0.00000318,0.00008,0.000353,0,20
2014Q1,"Richmond, CA",Beryllium-7,0.0952,0.00286,0.00244,0.000158667,30000
2014Q1,"Richmond, CA",Potassium-40,-0.000321,0.000548,0.00259,0,600
2014Q1,"Richmond, CA",Niobium-95,-0.0000781,0.0000699,0.000309,0,2000
2014Q1,"Richmond, CA",Zirconium-95,0.0000869,0.0000527,0.000256,0,400
2014Q1,"Richmond, CA",Ruthenium-103,-0.000107,0.0000558,0.000241,0,900
2014Q1,"Richmond, CA",Ruthenium-106,-0.00018,0.000132,0.00058,0,20
2014Q1,"Richmond, CA",Cesium-137,0.000012,0.0000132,0.0000621,0,200
2014Q1,"Richmond, CA",Cerium-141,0.000668,0.000178,0.000808,0,800
2014Q1,"Richmond, CA",Cerium-144,0.000151,0.0000889,0.000401,0,20
2014Q1,Livermore,Beryllium-7,0.0942,0.00357,0.00237,0.000157,30000
2014Q1,Livermore,Potassium-40,0.000536,0.000604,0.00282,0,600
2014Q1,Livermore,Niobium-95,0.000265,0.000127,0.00058,0,2000
2014Q1,Livermore,Zirconium-95,0.0000142,0.0000605,0.00028,0,400
2014Q1,Livermore,Ruthenium-103,-0.0000901,0.0000546,0.000237,0,900
2014Q1,Livermore,Ruthenium-106,-0.0000444,0.000136,0.000617,0,20
2014Q1,Livermore,Cesium-137,0.00000579,0.0000143,0.000065,0,200
2014Q1,Livermore,Cerium-141,0.000192,0.000145,0.000671,0,800
2014Q1,Livermore,Cerium-144,0.0000998,0.0000873,0.000393,0,20
2014Q1,San Luis Obispo,Beryllium-7,0.115,0.00431,0.00237,0.000191667,30000
2014Q1,San Luis Obispo,Potassium-40,0.00202,0.000635,0.00289,0,600
2014Q1,San Luis Obispo,Niobium-95,0.0000697,0.0000739,0.000345,0,2000
2014Q1,San Luis Obispo,Zirconium-95,0.000103,0.0000541,0.000263,0,400
2014Q1,San Luis Obispo,Ruthenium-103,-0.0000158,0.0000578,0.000259,0,900
2014Q1,San Luis Obispo,Ruthenium-106,0.0000199,0.000147,0.000673,0,20
2014Q1,San Luis Obispo,Cesium-137,0.00000441,0.0000155,0.0000716,0,200
2014Q1,San Luis Obispo,Cerium-141,0.000365,0.000167,0.000768,0,800
2014Q1,San Luis Obispo,Cerium-144,-0.0000807,0.000093,0.000403,0,20
2014Q1,Diablo Canyon,Beryllium-7,0.0978,0.00357,0.00239,0.000163,30000
2014Q1,Diablo Canyon,Potassium-40,0.00137,0.000533,0.00243,0,600
2014Q1,Diablo Canyon,Niobium-95,0.0000201,0.0000549,0.000251,0,2000
2014Q1,Diablo Canyon,Zirconium-95,0.0000263,0.0000441,0.000207,0,400
2014Q1,Diablo Canyon,Ruthenium-103,-0.0000238,0.0000444,0.0002,0,900
2014Q1,Diablo Canyon,Ruthenium-106,0.0000409,0.000117,0.000537,0,20
2014Q1,Diablo Canyon,Cesium-137,0.000105,0.0000193,0.0000829,0.00002625,200
2014Q1,Diablo Canyon,Cerium-141,-0.000344,0.000169,0.000801,0,800
2014Q1,Diablo Canyon,Cerium-144,0.0000577,0.0000712,0.000317,0,20
2014Q1,San Onofre,Beryllium-7,0.0992,0.00292,0.00194,0.000165333,30000
2014Q1,San Onofre,Potassium-40,0.000179,0.000532,0.00249,0,600
2014Q1,San Onofre,Niobium-95,0.0000264,0.0000598,0.000276,0,2000
2014Q1,San Onofre,Zirconium-95,0.0000514,0.0000482,0.000226,0,400
2014Q1,San Onofre,Ruthenium-103,0.00000282,0.000047,0.000213,0,900
2014Q1,San Onofre,Ruthenium-106,-0.0000248,0.000133,0.000608,0,20
2014Q1,San Onofre,Cesium-137,0.00000767,0.0000128,0.0000596,0,200
2014Q1,San Onofre,Cerium-141,0.000524,0.000136,0.000615,0,800
2014Q1,San Onofre,Cerium-144,0.00000924,0.000085,0.000374,0,20
2014Q1,San Diego,Beryllium-7,0.12,0.00438,0.00254,0.0002,30000
2014Q1,San Diego,Potassium-40,-0.00138,0.000605,0.00291,0,600
2014Q1,San Diego,Niobium-95,0.0000269,0.0000672,0.000312,0,2000
2014Q1,San Diego,Zirconium-95,-0.0000312,0.0000555,0.000249,0,400
2014Q1,San Diego,Ruthenium-103,-0.0000508,0.0000537,0.000238,0,900
