Sampling Period,Sampling Location,Radionuclide,Result (pCi/m3),Counting Error (pCi/m3),Minimum Detectable Activity 95% (pCi/m3,Total Effective Dose Equivalent (millirem),NRC Effluent Air Conc. Limit (pCi/m3)
2012Q1,San Onofre,Zirconium-95,0.0000537,0.000151,0.000433,0,400
2012Q1,San Onofre,Ruthenium-103,-0.000115,0.000119,0.000331,0,900
2012Q1,San Onofre,Ruthenium-106,0.000686,0.000474,0.00141,0,20
2012Q1,San Onofre,Cesium-137,0.0000222,0.0000539,0.000154,0,200
2012Q1,San Onofre,Cerium-141,-0.00019,0.000215,0.000502,0,800
2012Q1,San Onofre,Cerium-144,-0.000512,0.000298,0.000679,0,20
2012Q1,San Diego,Cesium-134,0.0000187,0.000038,0.000128,0,200
2012Q1,San Diego,Beryllium-7,0.139,0.00374,0.00343,0.000231667,30000
2012Q1,San Diego,Potassium-40,-0.000126,0.000756,0.00356,0,600
2012Q1,San Diego,Niobium-95,0.0000471,0.000144,0.000392,0,2000
2012Q1,San Diego,Zirconium-95,0.0000196,0.000151,0.000405,0,400
2012Q1,San Diego,Ruthenium-103,-0.0000532,0.000114,0.000313,0,900
2012Q1,San Diego,Ruthenium-106,-0.00109,0.000469,0.00117,0,20
2012Q1,San Diego,Cesium-137,-0.000012,0.0000467,0.000128,0,200
2012Q1,San Diego,Cerium-141,-0.000226,0.000177,0.000523,0,800
2012Q1,San Diego,Cerium-144,-0.000154,0.000253,0.000759,0,20
2012Q2,Eureka,Beryllium-7,0.0372,0.00131,0.00309,0.000062,30000
2012Q2,Eureka,Potassium-40,0.0018,0.000664,0.00303,0,600
2012Q2,Eureka,Niobium-95,0.0000388,0.000128,0.000363,0,2000
2012Q2,Eureka,Zirconium-95,-0.0000222,0.000165,0.000351,0,400
2012Q2,Eureka,Ruthenium-103,0.0000863,0.0000906,0.000274,0,900
2012Q2,Eureka,Ruthenium-106,0.000605,0.000368,0.00111,0,20
2012Q2,Eureka,Cesium-137,-0.0000387,0.000044,0.000118,0,200
2012Q2,Eureka,Cerium-141,0.0000268,0.000165,0.000399,0,800
2012Q2,Eureka,Cerium-144,-0.000022,0.000219,0.000513,0,20
2012Q2,Humboldt Bay,Beryllium-7,0.0347,0.00117,0.0028,5.78E-05,30000
2012Q2,Humboldt Bay,Potassium-40,-0.0000804,0.000637,0.00299,0,600
2012Q2,Humboldt Bay,Niobium-95,-0.0000652,0.000114,0.000328,0,2000
2012Q2,Humboldt Bay,Zirconium-95,-0.000027,0.000108,0.00032,0,400
2012Q2,Humboldt Bay,Ruthenium-103,0.0000532,0.0000884,0.00024,0,900
2012Q2,Humboldt Bay,Ruthenium-106,-0.000415,0.000429,0.00106,0,20
2012Q2,Humboldt Bay,Cesium-137,-0.0000901,0.0000457,0.000108,0,200
2012Q2,Humboldt Bay,Cerium-141,0.000224,0.000116,0.000366,0,800
2012Q2,Humboldt Bay,Cerium-144,-0.000404,0.000181,0.000522,0,20
2012Q2,"Richmond, CA",Beryllium-7,0.0588,0.00183,0.00371,0.000098,30000
2012Q2,"Richmond, CA",Potassium-40,0.00069,0.000672,0.00313,0,600
2012Q2,"Richmond, CA",Niobium-95,-0.0000283,0.00014,0.00037,0,2000
2012Q2,"Richmond, CA",Zirconium-95,0.000123,0.000172,0.000358,0,400
2012Q2,"Richmond, CA",Ruthenium-103,0.000134,0.000101,0.000293,0,900
2012Q2,"Richmond, CA",Ruthenium-106,-0.0000231,0.000393,0.00109,0,20
2012Q2,"Richmond, CA",Cesium-137,-0.0000143,0.0000397,0.000109,0,200
2012Q2,"Richmond, CA",Cerium-141,0.00034,0.000156,0.00049,0,800
2012Q2,"Richmond, CA",Cerium-144,0.000071,0.000209,0.000639,0,20
2012Q2,Livermore,Beryllium-7,0.105,0.000286,0.00277,0.000175,30000
2012Q2,Livermore,Potassium-40,-0.000146,0.000544,0.00258,0,600
2012Q2,Livermore,Niobium-95,0.000134,0.000117,0.000345,0,2000
2012Q2,Livermore,Zirconium-95,0.00019,0.00015,0.000321,0,400
2012Q2,Livermore,Ruthenium-103,-0.0000805,0.0000994,0.000268,0,900
2012Q2,Livermore,Ruthenium-106,-0.000333,0.000347,0.000927,0,20
2012Q2,Livermore,Cesium-137,0.0000093,0.0000357,0.000101,0,200
2012Q2,Livermore,Cerium-141,0,0,0,0,800
